"EIN","SEC_NAME","FRCD","SUBSECCD","TAXPER","ASSETS","INCOME","NAME","ADDRESS","CITY","STATE","NTEEFINAL","NAICS","ZIP5","RULEDATE","FIPS","FNDNCD","PMSA","MSA_NECH","CASSETS","CFINSRC","CTAXPER","CTOTREV","ACCPER","RANDNUM","NTEECC","NTEE1","LEVEL4","LEVEL1","NTMAJ10","MAJGRPB","LEVEL3","LEVEL2","NTMAJ12","NTMAJ5","FILER","ZFILER","OUTREAS","OUTNCCS"
616032180,"44 L&N GENERAL COMMITTEE",10,5,202112,105961,220452,"BROTHERHOOD OF RAILROAD SIGNALMEN","PO BOX 304","HOHENWALD","TN","W03",813920,38462,194104,13295,0,NA,NA,157644,"19eoextract990.xlsx",201812,198557,12,0.5021502547,"W03","W","W","O","PU","W","PB","O","PU","OT","Y","N","","IN"
356078871,"KENTLAND EPSILON IOTA CHAPTER",20,3,NA,NA,NA,"KAPPA KAPPA KAPPA INC","3566 W 1508 S","KENTLAND","IN","B83",813410,47951,196802,18111,16,NA,NA,NA,"",NA,NA,NA,0.4723286463,"B83","B","B","PC","ED","B","ED","O","ED","ED","N","N","","IN"
160905222,"",10,3,202110,6065142,15823241,"CHAUTAUQUA OPPORTUNITIES INC","17 W COURTNEY ST","DUNKIRK","NY","S20",813410,14048,196509,36013,15,NA,NA,4096090,"19eoextract990.xlsx",201810,15878213,10,0.4969207966,"S20","S","S","PC","PU","S","PB","O","PU","OT","Y","N","","IN"
830549242,"",20,3,202012,0,0,"LIBERIAN CENTER FOR CIVIC ENGAGEMENT & DEVELOPMENT","1337 HEMLOCK TRL","SHAKOPEE","MN","W24",NA,55379,202004,NA,NA,NA,NA,NA,"",NA,NA,12,0.8467501195,"W24","W","W","PC","PU","W","PB","O","PU","OT","Y","Y","","IN"
716056705,"",10,3,202012,345970,308275,"NORTH ARKANSAS GOSPEL MISSION","PO BOX 40","HASTY","AR","X20",813110,72640,195608,5101,16,NA,NA,357852,"19eoextract990.xlsx",201812,316722,12,0.6335983331,"X20","X","X","PC","RE","X","RE","O","RE","OT","Y","N","","IN"
529661825,"",20,3,202206,0,0,"WESTOVER BAPTIST FOUNDATION","2531 CAMELBACK RD","N CHESTERFLD","VA","X21",813110,23236,197608,51760,17,NA,NA,NA,"",NA,NA,6,0.3266164951,"X21","X","X","PC","RE","X","RE","S","RE","OT","Y","Y","","IN"
631241221,"",20,13,202112,0,0,"CANE CREEK CEMETERY FUND","PO BOX 164","WARRIOR","AL","Y50",812220,35180,200006,1073,0,NA,NA,NA,"",NA,NA,12,0.3725592064,"Y50","Y","Y","O","MU","Y","MO","M","MU","OT","Y","Y","","IN"
201623390,"",20,3,202112,0,0,"ENCOURAGING ANGELS INC","3267 SHAFFER RD","ELLWOOD CITY","PA","X80",510000,16117,200504,42003,15,NA,NA,NA,"",NA,NA,12,0.4839351075,"X80","X","X","PC","RE","X","RE","O","RE","OT","Y","Y","","IN"
310726176,"K06090 MARIEMONT",20,4,202109,0,0,"KIWANIS INTERNATIONAL INC","1 WARRIOR WAY","CINCINNATI","OH","S80",813410,45227,196603,39061,0,NA,NA,NA,"",NA,NA,9,0.0259685609,"S80","S","S","O","PU","S","PB","O","PU","OT","Y","Y","","IN"
943490400,"32 MYRON H BEALS",20,19,202009,0,0,"DEPARTMENT OF MICHIGAN AMERICAN LEGION AUXILIARY","9318 NEWBURGH RD","LIVONIA","MI","W30",813410,48150,194610,26163,0,NA,NA,NA,"",NA,NA,9,0.4418538185,"W30","W","W","O","PU","W","PB","O","PU","OT","Y","Y","","IN"
822026568,"",20,3,202112,0,0,"REDWOOD CHRISTIAN ACADEMY","1300 E SHAW AVE STE 119","FRESNO","CA","B24",NA,93710,201707,NA,NA,NA,NA,NA,"",NA,NA,12,0.9755176353,"B24","B","B","PC","ED","B","ED","O","ED","ED","Y","Y","","IN"
752840046,"EDUCATION INC",20,3,202112,0,0,"DR R G WICK ALEXANDER FOUNDATION FO R ORTHODONTIC RESEARCH AND","840 W MITCHELL ST","ARLINGTON","TX","B05",541720,76013,199911,48439,15,NA,NA,202461,"19eoextractez.xlsx",201812,25216,12,0.1331548449,"B05","B","B","PC","ED","B","ED","O","ED","ED","Y","Y","","IN"
432104155,"80563 WESTERN CRAWFORD COUNTY USBC",20,3,202107,0,0,"UNITED STATES BOWLING CONGRESS INC","6013 MCDANIEL RD","COCHRANTON","PA","N60",713990,16314,200409,42039,16,NA,NA,NA,"",NA,NA,7,0.992471251,"N60","N","N","PC","HU","N","HS","O","HU","HU","Y","Y","","IN"
912164955,"REDWOOD CHAPTER",20,3,202107,73592,0,"NATIONAL JUNIOR BASKETBALL","364 GREENOAKS DR","ATHERTON","CA","N62",713990,94027,199305,6081,16,NA,NA,89575,"19eoextractez.xlsx",201907,145219,7,0.6206055437,"N62","N","N","PC","HU","N","HS","O","HU","HU","Y","N","","IN"
204166176,"",10,3,202012,195231,148473,"WOMEN IN ACTION INC","PO BOX 161143","BIG SKY","MT","P40",624100,59716,200603,30031,15,NA,NA,208308,"19eoextract990.xlsx",201812,186709,12,0.9066493439,"P40","P","P","PC","HU","P","HS","O","HU","HU","Y","N","","IN"
660944310,"",20,3,NA,NA,NA,"CRUZADAS DE AMOR","CALLE 1 EDIF 3 METRO OFFICE PARK","GUAYNABO","PR","T30",NA,968,202111,NA,NA,NA,NA,NA,"",NA,NA,NA,0.5584513334,"T30","T","T","PC","PU","T","ZD","S","PU","OT","N","N","T","OUT"
161303702,"",20,4,202112,44776,18872,"EMPIRE STATE PASSENGERS ASSOCIATION INC","86 CEDAR LN","OSSINING","NY","S41",813910,10562,198812,36067,0,NA,NA,48735,"19eoextractez.xlsx",201812,24983,12,0.7203641669,"S41","S","S","O","PU","S","PB","O","PU","OT","Y","N","","IN"
61021061,"",10,3,202108,624961,384969,"THAMES VALLEY MUSIC SCHOOL","270 MOHEGAN AVECONNCOLLE BOX 5294","NEW LONDON","CT","A6E",611610,6320,198007,9011,11,NA,NA,426343,"19eoextract990.xlsx",201808,502961,8,0.2687138216,"A6E","A","A","PC","AR","A","AR","O","AR","AR","Y","N","","IN"
316041720,"321 ORIENT LODGE",20,10,202112,0,0,"FREE & ACCEPTED MASONS OF OHIO","108 E NORTH ST","WAVERLY","OH","Y42",813410,45690,194010,39131,0,NA,NA,NA,"",NA,NA,12,0.9678671588,"Y42","Y","Y","O","MU","Y","MO","M","MU","OT","Y","Y","","IN"
946171208,"ALVARADO ELEMENTARY PTA",10,3,202106,696465,410725,"PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS INC","625 DOUGLASS ST","SAN FRANCISCO","CA","B94",813410,94114,196709,6075,16,NA,NA,507507,"19eoextract990.xlsx",201806,455324,6,0.050914357,"B94","B","B","PC","ED","B","ED","O","ED","ED","Y","N","","IN"
852245188,"",20,3,NA,NA,NA,"GREEN SPRING LOW WATER BRIDGE COMMITTEE","46 ROCKY RD","GREEN SPRING","WV","C01",NA,26722,202112,NA,NA,NA,NA,NA,"",NA,NA,NA,0.8885873047,"C01","C","C","PC","EN","C","EN","O","EN","OT","N","N","","IN"
611273431,"KY-GREATER LOUISVILLE CHAPTER",20,3,202112,106094,33740,"ASSOCIATION OF FUNDRAISING PROFESSIONALS","4300 WILSON BLVD","ARLINGTON","VA","T0330",813920,22203,198709,51013,16,NA,NA,87508,"19eoextractez.xlsx",201812,53196,12,0.3286980821,"T033","T","T","PC","PU","T","PB","O","PU","OT","Y","N","","IN"
814868696,"BOSTON KENDO KYOKAI",20,3,202112,0,0,"BOSTON KENDO KYOKAI INC","131 SOUTH ST","CHESTNUT HILL","MA","N60",NA,2467,201702,NA,NA,NA,NA,NA,"",NA,NA,12,0.7900740546,"N60","N","N","PC","HU","N","HS","O","HU","HU","Y","Y","","IN"
753098448,"",20,3,202012,0,0,"PORT ARTHUR FOR POSITIVE ACTION","4110 COBBLESTONE LN","PORT ARTHUR","TX","J20",561310,77642,200307,48245,15,NA,NA,NA,"",NA,NA,12,0.7620145399,"J20","J","J","PC","HU","J","HS","O","HU","HU","Y","Y","","IN"
274592630,"",20,6,202112,0,0,"WOMEN ENTREPRENEURS - CENTRAL ILLINOIS","3200 ROBBINS RD STE 200A","SPRINGFIELD","IL","S41",813910,62704,201212,17167,0,NA,NA,NA,"",NA,NA,12,0.6655937389,"S41","S","S","O","PU","S","PB","O","PU","OT","Y","Y","","IN"
453632815,"",20,3,202012,999,0,"ANGELS IN HEAVEN FOUNDATION","2551 KIMBERLY RD","TWIN FALLS","ID","X20",813110,83301,201405,16083,15,NA,NA,342,"19eoextractez.xlsx",201812,0,12,0.7519209073,"X20","X","X","PC","RE","X","RE","O","RE","OT","Y","N","","IN"
237253620,"BETTY JANE PRE EL",20,3,202112,0,0,"PTA OHIO CONGRESS","444 DARROW RD","AKRON","OH","B94",813410,44305,197301,39153,15,NA,NA,NA,"",NA,NA,12,0.48628258,"B94","B","B","PC","ED","B","ED","O","ED","ED","Y","Y","","IN"
954584633,"",10,3,202012,505641,647396,"BEVERLY HILLS POLICE OFFICERS BENEVOLENT FUND","9663 SANTA MONICA BLVD NO 786","BEVERLY HILLS","CA","I60",541199,90210,201109,6037,15,NA,NA,347315,"core2017pc",201712,542731,12,0.3254176023,"I60","I","I","PC","HU","I","HS","O","HU","HU","Y","N","","IN"
205937457,"",10,3,202112,432539,382269,"HELPING HANDS HEALTH AND WELLNESSCENTER","5100 KARL RD","COLUMBUS","OH","E70",621999,43229,200705,39049,15,NA,NA,60312,"19eoextractez.xlsx",201812,148712,12,0.5766465268,"E70","E","E","PC","HE","E","HE","O","HE","HE","Y","N","","IN"
853510871,"",1,3,NA,NA,NA,"ALANAS PLAY","3960 HOWARD HUGHES PKWY","LAS VEGAS","NV","F11",NA,89169,202101,NA,NA,NA,NA,NA,"",NA,NA,NA,0.0669103607,"F11","F","F","PC","HE","F","ZA","S","HE","HE","N","N","","IN"
474066474,"CORNERSTONE CHRISTIAN ACADEMY",10,3,202112,289452,856901,"CORNERSTONE CHRISTIAN MINISTRIES","810 N CHASE RD","POST FALLS","ID","B20",611110,83854,201509,16055,11,NA,NA,109755,"19eoextract990.xlsx",201812,678295,12,0.8979320571,"B20","B","B","PC","ED","B","ED","O","ED","ED","Y","N","","IN"
465650540,"FSAAPTO",20,3,202112,0,0,"FIRST STEPS ANN ARBOR PARENT TEACHER ORGANIZATION","2775 BOARDWALK ST","ANN ARBOR","MI","B94",813410,48104,201504,26161,16,NA,NA,NA,"",NA,NA,12,0.9364264874,"B94","B","B","PC","ED","B","ED","O","ED","ED","Y","Y","","IN"
752329283,"",60,3,NA,NA,NA,"WOODLAND HEIGHTS BAPTIST CHURCH","3712 CENTRAL DR","BEDFORD","TX","X21",813110,76021,199905,48439,10,NA,NA,NA,"",NA,NA,NA,0.4103743224,"X21","X","X","PC","RE","X","RE","O","RE","OT","N","N","","IN"
352645314,"",20,3,202012,0,0,"PARENTS IN ACTION","340 NINTH STREET","EUREKA","MT","B94",NA,59917,202002,NA,NA,NA,NA,NA,"",NA,NA,12,0.0166990123,"B94","B","B","PC","ED","B","ED","O","ED","ED","Y","Y","","IN"
356078858,"MICHIGAN CITY DELTA MU CHAPTER",10,3,NA,NA,NA,"KAPPA KAPPA KAPPA INC","5958 W 300 N","LAPORTE","IN","B83",813410,46350,196802,18091,16,NA,NA,NA,"",NA,NA,NA,0.7880885523,"B83","B","B","PC","ED","B","ED","O","ED","ED","N","N","","IN"
203662739,"",20,3,201912,0,0,"TOGIAK PUBLIC LIBRARY AND CULTURAL CENTER","PO BOX 21046","ANAKTUVUK","AK","B70",514120,99721,200604,2070,15,NA,NA,NA,"",NA,NA,12,0.1689032507,"B70","B","B","PC","ED","B","ED","O","ED","ED","N","N","","IN"
351396088,"",60,3,202006,NA,NA,"ST MARTIN OF TOURS CATHOLIC CHURCH MARTINSVILLE INC","1709 E HARRISON ST","MARTINSVILLE","IN","X20",813110,46151,194603,18109,10,NA,NA,NA,"",NA,NA,6,0.137990339,"X20","X","X","PC","RE","X","RE","O","RE","OT","N","N","","IN"
411823522,"",20,3,202109,0,0,"MINNESOTA LES DAMES D ESCOFFIER INTERNATIONAL","7561 ERIE AVE","CHANHASSEN","MN","S81",813410,55317,199809,27141,16,NA,NA,NA,"",NA,NA,9,0.641506622,"S81","S","S","PC","PU","S","PB","O","PU","OT","Y","Y","","IN"
411325636,"ITASCA YOUTH FOR CHRIST",60,3,202106,117215,239387,"YOUTH FOR CHRIST USA INC","PO BOX 209","GRAND RAPIDS","MN","O55",813410,55744,197211,27061,16,NA,NA,94855,"19eoextract990.xlsx",201906,249368,6,0.5578379265,"O55","O","O","PC","HU","O","HS","O","HU","HU","Y","N","","IN"
621116427,"VALLEY OF TERRE HAUTE",10,10,202104,1206227,351777,"ANCIENT ACCEPTED SCOTTISH RITE OF FREE MASONRY NMJ","8930 E US HIGHWAY 40","TERRE HAUTE","IN","Y40",813410,47803,194012,18167,0,NA,NA,1043544,"core2017co",201804,190002,4,0.9679520581,"Y40","Y","Y","O","MU","Y","MO","M","MU","OT","Y","N","","IN"
222481253,"",20,3,201906,0,0,"MANSFIELD SENIOR CENTER ASSOCIATION INC","303 MAPLE RD","STORRS","CT","P81",624120,6268,198606,9013,15,NA,NA,NA,"",NA,NA,6,0.3096862556,"P81","P","P","PC","HU","P","HS","O","HU","HU","N","N","","IN"
751984285,"",10,3,202109,11775483,9596871,"SAMARITAN INN INC","1725 N MCDONALD ST","MCKINNEY","TX","P70",623990,75071,198508,48085,15,NA,NA,12138861,"19eoextract990.xlsx",201809,3905987,9,0.2508683511,"P70","P","P","PC","HU","P","HS","O","HU","HU","Y","N","","IN"
453303894,"",20,3,202112,0,0,"DISASTER AND VICTIM SERVICES INTERNATIONAL","103 APPOMATOX DR","DAPHNE","AL","P62",624190,36526,201112,1003,15,NA,NA,1053,"core2017pc",201612,7899,12,0.6900643489,"P62","P","P","PC","HU","P","HS","O","HU","HU","Y","Y","","IN"
411850736,"",10,3,202104,358438,486993,"WACONIA HOCKEY ASSOCIATION INC","PO BOX 521","WACONIA","MN","N68",713990,55387,199903,27019,16,NA,NA,404075,"19eoextract990.xlsx",201904,398509,4,0.4306778804,"N68","N","N","PC","HU","N","HS","O","HU","HU","Y","N","","IN"
833011863,"",10,3,201912,1,98648,"FCRANGERS PALO ALTO","445 BRYANT ST","PALO ALTO","CA","N64",NA,94301,201907,NA,NA,NA,NA,1,"19eoextractez.xlsx",201812,0,12,0.7224053007,"N64","N","N","PC","HU","N","HS","O","HU","HU","N","N","","IN"
261073619,"BOOKS -A-GO GO",20,3,202112,22153,13810,"BIBLIOPHILES OF AMERICA BOOKS -A-GO GO","10076 HEATHER LAKE CT W","JACKSONVILLE","FL","B70",514120,32256,200711,12031,15,NA,NA,55559,"19eoextract990.xlsx",201812,9030,12,0.6640148794,"B70","B","B","PC","ED","B","ED","O","ED","ED","Y","N","","IN"
741109743,"",60,3,NA,NA,NA,"CATHOLIC CHARITIES ARCHDIOCESE OF SAN ANTONIO INC","202 W FRENCH PL","SAN ANTONIO","TX","P20",624000,78212,194603,48029,10,NA,NA,NA,"",NA,NA,NA,0.0612417004,"P20","P","P","PC","HU","P","HS","O","HU","HU","N","N","","IN"
208542270,"",10,3,202109,967816,1030057,"ALL ABOUT HOME CARE INC","6200 WHISKEY CREEK DR","FORT MYERS","FL","E92",621610,33919,200903,12071,16,NA,NA,313732,"19eoextract990.xlsx",201809,2655260,9,0.1919053058,"E92","E","E","PC","HE","E","HE","O","HE","HE","Y","N","","IN"
462236659,"",140,3,201712,169845703,41150119,"EGYPTIAN-AMERICAN ENTERPRISE FUND","888 7TH AVE 16TH FLR","NEW YORK","NY","Q32",813311,10106,201905,36061,15,NA,NA,169845703,"core2017pc",201712,41150119,12,0.4490554539,"Q32","Q","Q","PC","IN","Q","IN","O","IN","OT","N","N","","IN"
582540324,"",10,3,202112,50867,125831,"AREA CHRISTIANS TOGETHER IN SERVICE INC","515 DENMARK STREET","STATESBORO","GA","X20",813110,30458,200005,13031,15,NA,NA,30214,"19eoextract990.xlsx",201812,104496,12,0.6681646674,"X20","X","X","PC","RE","X","RE","O","RE","OT","Y","N","","IN"
431190736,"",20,3,202106,19587,22952,"ST CHARLES COUNTY ARTS COUNCIL INC","7443 VILLAGE CENTER DR","O FALLON","MO","A26",710000,63368,198002,29183,15,NA,NA,6261,"19eoextractez.xlsx",201906,16065,6,0.5330868063,"A26","A","A","PC","AR","A","AR","O","AR","AR","Y","N","","IN"
383514366,"757 PORT HURON MI",20,8,202112,0,0,"WOMANS LIFE INSURANCE SOCIETY","1338 MILITARY ST","PORT HURON","MI","Y20",524110,48060,194009,26147,0,NA,NA,NA,"",NA,NA,12,0.9595160147,"Y20","Y","Y","O","MU","Y","MO","M","MU","OT","Y","Y","","IN"
392039202,"",10,3,202112,1981787,1657473,"CHRISTIAN COMMUNITY CHILD CENTER INC","3870 JACKSON ST","OSHKOSH","WI","P33",624410,54901,200206,55139,16,NA,NA,1319689,"19eoextract990.xlsx",201812,1462816,12,0.3128055094,"P33","P","P","PC","HU","P","HS","O","HU","HU","Y","N","","IN"
300647746,"",60,3,NA,NA,NA,"PRIMERA IGLESIA CRISTIANA PENTECOSTAL","14222 SYCAMORE DR","DINWIDDIE","VA","X21",813110,23841,201104,51053,10,NA,NA,NA,"",NA,NA,NA,0.1835503674,"X21","X","X","PC","RE","X","RE","O","RE","OT","N","N","","IN"
901178288,"",20,3,201912,0,0,"6085870 UNITED VOICES","2716 N TENAYA WAY 4TH FL","LAS VEGAS","NV","",NA,89128,194505,NA,NA,NA,NA,NA,"",NA,NA,12,0.3964696239,"","","","PC","UN","","-","O","UN","OT","N","N","","IN"
850529495,"",10,3,202012,65976,141577,"NORTH END YOUTH CENTER INC","36W182 RIVER VIEW CT","SAINT CHARLES","IL","O20",NA,60175,202201,NA,NA,NA,NA,NA,"",NA,NA,12,0.3569098265,"O20","O","O","PC","HU","O","HS","O","HU","HU","Y","N","","IN"
736102677,"183",20,5,202112,0,0,"NATIONAL ACTIVE AND RETIRED FEDERAL EMPLOYEES ASSOCIATION","5309 W TRENTON CT","STILLWATER","OK","J40",813930,74074,196310,40119,0,NA,NA,NA,"",NA,NA,12,0.0589972401,"J40","J","J","O","HU","J","HS","O","HU","HU","Y","Y","","IN"
411871361,"",10,3,202012,105251,115181,"NORTH SHORE IN-LINE MARATHON INC","525 S LAKE AVE","DULUTH","MN","N60",713990,55802,199809,27137,16,NA,NA,98525,"19eoextract990.xlsx",201812,238032,12,0.2839323566,"N60","N","N","PC","HU","N","HS","O","HU","HU","Y","N","","IN"
431418456,"",130,3,NA,NA,NA,"JEFF PERRY SERVICES INTERNATIONAL INC","17466 CHESTERFIELD AIRPORT RD","CHESTERFIELD","MO","Q33",813311,63005,198706,29189,15,NA,NA,NA,"",NA,NA,NA,0.1177110196,"Q33","Q","Q","PC","IN","Q","IN","O","IN","OT","N","N","","IN"
300149216,"",20,3,202012,0,0,"CAPITAL AREA AMATEUR RADIO EMERGENCY RESPONSE TEAM","1508 W LAKE SHORE DR","SPRINGFIELD","IL","M20",624230,62712,200503,17167,16,NA,NA,NA,"",NA,NA,12,0.3066751106,"M20","M","M","PC","HU","M","HS","O","HU","HU","Y","Y","","IN"
166446778,"VOLUNTEER EMPLOYEES BENEFIT ASSOC",10,9,202012,5054142,6324918,"ROCHESTER FIRE FIGHTERS BENEVOLENT ASSOCIATION TRUST FUND","1200 PITTSFORD VICTOR ROAD","PITTSFORD","NY","M24",624230,14534,199705,36055,0,NA,NA,5467901,"19eoextract990.xlsx",201812,566373,12,0.5606863998,"M24","M","M","O","HU","M","HS","O","HU","HU","Y","N","","IN"
461415983,"",20,3,202112,0,0,"500 CLUB OF COUNCIL BLUFFS","PO BOX 1188","COUNCIL BLFS","IA","P20",624000,51502,201405,19155,15,NA,NA,NA,"",NA,NA,12,0.9715594616,"P20","P","P","PC","HU","P","HS","O","HU","HU","Y","Y","","IN"
833770254,"",20,3,202112,0,0,"BELIEVE IN GOOD INC","630 SCHNEIDER ST SE","NORTH CANTON","OH","P20",NA,44720,201904,NA,NA,NA,NA,NA,"",NA,NA,12,0.3478271517,"P20","P","P","PC","HU","P","HS","O","HU","HU","Y","Y","","IN"
753113524,"",60,3,NA,NA,NA,"ZION MOUNTAIN OF PRAISE INC","3609 THORNWOOD ROAD","HYATTSVILLE","MD","X21",813110,20784,200607,24033,10,NA,NA,NA,"",NA,NA,NA,0.135614676,"X21","X","X","PC","RE","X","RE","O","RE","OT","N","N","","IN"
813061105,"",20,3,202112,0,0,"DAMASCUS ROAD PROJECT INCORPORATED","N1085 COUNTY ROAD HH","ANTIGO","WI","P01",813319,54409,201606,55067,4,NA,NA,868,"core2017pc",201612,3108,12,0.9482380162,"P01","P","P","PF","HU","P","HS","S","HU","HU","Y","Y","","IN"
680025860,"",10,2,202112,0,0,"EEL RIVER MASONIC TEMPLE ASSOCIATION","PO BOX 51","FORTUNA","CA","Y42",813410,95540,201307,6023,0,NA,NA,NA,"",NA,NA,12,0.2178904861,"Y42","Y","Y","O","MU","Y","MO","M","MU","OT","Y","Y","","IN"
311698129,"",10,3,202012,1123741,93687,"JUNEAU HOUSING TRUST INC","PO BOX 32045","JUNEAU","AK","L20",624229,99803,200006,2110,15,NA,NA,1053259,"19eoextract990.xlsx",201812,4657,12,0.0735895749,"L20","L","L","PC","HU","L","HS","O","HU","HU","Y","N","","IN"
430493215,"",10,3,202105,40593564,10304338,"ST ANDREWS AT FRANCIS PLACE","1001 CRAIG RD STE 200","SAINT LOUIS","MO","E91",623110,63146,194603,29189,16,NA,NA,11000271,"19eoextract990.xlsx",201805,6391277,5,0.3474098475,"E91","E","E","PC","HE","E","HE","O","HE","HE","Y","N","","IN"
260079818,"MADISON COUNTY NC USA",20,4,202006,0,0,"ROTARY INTERNATIONAL","PO BOX 141","MARS HILL","NC","S80",813410,28754,194209,37115,0,NA,NA,NA,"",NA,NA,6,0.2332335134,"S80","S","S","O","PU","S","PB","O","PU","OT","N","N","","IN"
833455480,"",20,3,202112,0,0,"WASHINGTON PARK NEIGHBORS INC","1732 N 49TH ST","MILWAUKEE","WI","A20",NA,53208,201904,NA,NA,NA,NA,NA,"",NA,NA,12,0.5041219951,"A20","A","A","PC","AR","A","AR","O","AR","AR","Y","Y","","IN"
391901880,"REAL LIFE CHURCH",60,3,NA,NA,NA,"LIVING WATER FAMILY CHURCH INC","PO BOX 788","BETTENDORF","IA","X20",813110,52722,199806,19163,10,NA,NA,NA,"",NA,NA,NA,0.8018007848,"X20","X","X","PC","RE","X","RE","O","RE","OT","N","N","","IN"
720953359,"",60,3,NA,NA,NA,"FIRST ASSEMBLY OF GOD","16976 HIGHWAY 90","DES ALLEMANDS","LA","X21",813110,70030,196408,22089,10,NA,NA,NA,"",NA,NA,NA,0.3991758417,"X21","X","X","PC","RE","X","RE","O","RE","OT","N","N","","IN"
862976476,"",20,3,NA,NA,NA,"BRIDGE THE GAP INITIATIVE","7800 METRO PKWY STE 200 # 65","BLOOMINGTON","MN","P20",NA,55425,202201,NA,NA,NA,NA,NA,"",NA,NA,NA,0.2915144613,"P20","P","P","PC","HU","P","HS","O","HU","HU","N","N","","IN"
237351165,"DOWNEY SHRINE CLUB",10,10,NA,NA,NA,"SHRINERS INTERNATIONAL","665 W JEFFERSON BLVD","LOS ANGELES","CA","Y42",813410,90007,194011,6037,0,NA,NA,NA,"",NA,NA,NA,0.305376563,"Y42","Y","Y","O","MU","Y","MO","M","MU","OT","N","N","","IN"
421474232,"",10,3,202112,11393,79900,"1000 FRIENDS OF IOWA","3850 MERLE HAY RD","DES MOINES","IA","C0150",813319,50310,199807,19153,16,NA,NA,13461,"19eoextractez.xlsx",201812,90504,12,0.3707951924,"C015","C","C","PC","EN","C","EN","O","EN","OT","Y","N","","IN"
911910477,"",60,3,NA,NA,NA,"SENECA EVANGELICAL CHURCH","PO BOX 111","SENECA","IL","X21",813110,61360,197102,17099,10,NA,NA,NA,"",NA,NA,NA,0.9115265737,"X21","X","X","PC","RE","X","RE","O","RE","OT","N","N","","IN"
841248252,"DOUGLAS COUNTY 4-LEADERS COUNCIL",20,3,202106,0,0,"COLORADO 4-H FOUNDATION INC","4961 WOODLEY AVE","SEDALIA","CO","W20",813410,80135,201308,8035,15,NA,NA,NA,"",NA,NA,6,0.3753889419,"W20","W","W","PC","PU","W","PB","O","PU","OT","Y","Y","","IN"
200034536,"655 LOCAL BERGEN COUNTY BLUE COLLAR",20,5,202111,0,0,"UNITED SERVICE WORKERS UNION","145 HUGUENOT ST STE 420","NEW ROCHELLE","NY","J40",813930,10801,199212,36081,0,NA,NA,NA,"",NA,NA,11,0.5428428321,"J40","J","J","O","HU","J","HS","O","HU","HU","Y","Y","","IN"
901253064,"7093746 207 SMOOTH TALKERS TMS CLUB",20,3,202112,0,0,"TOASTMASTERS INTERNATIONAL","207 GOODE AVE SUITE 500","GLENDALE","CA","",NA,91203,194505,NA,NA,NA,NA,NA,"",NA,NA,12,0.2963349937,"","","","PC","UN","","-","O","UN","OT","Y","Y","","IN"
300815007,"",20,3,202112,0,0,"JOYFUL COMMUNITY SERVICES","277 NELSONS CT","HARDEEVILLE","SC","S11",NA,29927,201701,NA,NA,NA,NA,NA,"",NA,NA,12,0.3385881601,"S11","S","S","PC","PU","S","ZA","S","PU","OT","Y","Y","","IN"
581600694,"",20,3,202112,0,0,"ATLANTA CHAPT OF THE INTERNATIONAL ORGANIZATION OF LACE INC","3801 VILLAGE VIEW DR APT 1331","GAINESVILLE","GA","Q99",813311,30506,201405,13089,16,NA,NA,NA,"",NA,NA,12,0.4869222561,"Q99","Q","Q","PC","IN","Q","IN","O","IN","OT","Y","Y","","IN"
136880921,"",1,3,202111,351448,42252,"ANNE AND JOHN J WALSH FOUNDATION","35 PROSPECT PARK W APT 6B","BROOKLYN","NY","T20",813211,11215,198806,36047,4,NA,NA,NA,"",NA,NA,11,0.7858038002,"T20","T","T","PF","PU","T","ZC","S","PU","OT","Y","N","","IN"
522399550,"CAL RIPKEN BASEBALL",10,3,202112,37168,79698,"HERITAGE HARBOUR BASEBALL INC","1767 LAKEWOOD RANCH BLVD","BRADENTON","FL","N63",713990,34211,200701,12081,15,NA,NA,37038,"core2017pc",201712,103454,12,0.2743473651,"N63","N","N","PC","HU","N","HS","O","HU","HU","Y","N","","IN"
942948014,"",10,3,202106,601676,1148475,"COVA EDUCATION CHARTER RESOURCES INC","LOCAL","OAKLAND","CA","A6E",611610,94611,198405,6001,15,NA,NA,1161999,"19eoextract990.xlsx",201806,1043618,6,0.8541806073,"A6E","A","A","PC","AR","A","AR","O","AR","AR","Y","N","","IN"
587163009,"",10,3,202112,778064,500820,"GALILEE MAJESTIC ARMS INCORPORATED","1320 PIERRE AVE","SHREVEPORT","LA","T99",813219,71103,198708,22017,16,NA,NA,946341,"19eoextract990.xlsx",201812,553719,12,0.1072593777,"T99","T","T","PC","PU","T","ZF","S","PU","OT","Y","N","","IN"
237332413,"10331 CHETEK POST",20,19,202112,0,0,"VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF WISCONSIN","PO BOX 465","CHETEK","WI","W30",813410,54728,197305,55005,0,NA,NA,NA,"",NA,NA,12,0.0402653475,"W30","W","W","O","PU","W","PB","O","PU","OT","Y","Y","","IN"
843661235,"",10,3,202012,530585,344083,"LOVE HAS NO LIMITS INC","1001 AVENIDA PICO STE C286","SAN CLEMENTE","CA","Z99",NA,92673,201912,NA,NA,NA,NA,NA,"",NA,NA,12,0.8457003371,"Z99","Z","Z","PC","UN","Z","UN","O","UN","OT","Y","N","","IN"
